TEMPLATE_ASSET_NORMALIZATION_AUDIT_V1
generated_at=2026-08-12T03:39:06
canonical_viewport=1280x720
rule_3840x2087=crop(114,54,3725,2087)->resize(1280x720)
rule_3611x2033=full_viewport->resize(1280x720)
rule_1268x71x=full_viewport->resize(1280x720)
local_crops=logged_as_roi_seed_only_and_excluded_from_frame_scoring
normalized_frame_count=223

C:\Users\Administrator\Documents\xwechat_files\wxid_rg4th3wgnes422_8515\temp\RWTemp\2026-08\8d002fbb45705babab1fb722dead4888\f11e048ee29aa01d174292e5780dd727.png	original=1268x711	viewport=full_1268x711;resize=1280x720	sha256=8acc41ff8fc178784b7ff60245bd0076e5899716333ffa1f7f408dad17053d10
C:\Users\Administrator\Documents\xwechat_files\wxid_rg4th3wgnes422_8515\temp\RWTemp\2026-08\8d002fbb45705babab1fb722dead4888\a1fef159204ee99584fd0f41dd1e2749.png	original=1268x711	viewport=full_1268x711;resize=1280x720	sha256=bc7178302d863170e58ecf89bb9b53a94b27544030e8413b060ae05c8e79215a
C:\Users\Administrator\Documents\xwechat_files\wxid_rg4th3wgnes422_8515\temp\RWTemp\2026-08\8d002fbb45705babab1fb722dead4888\9779296e245e95b093aa5a0601023b85.png	original=1268x711	viewport=full_1268x711;resize=1280x720	sha256=b5c595dfb68330880b5aaf6dfb34cec3b7f12e1672e786925bd21a9d35ee871e
C:\Users\Administrator\Documents\xwechat_files\wxid_rg4th3wgnes422_8515\temp\RWTemp\2026-08\8d002fbb45705babab1fb722dead4888\d26f460f57db540393b59e9973a4931c.png	original=1268x711	viewport=full_1268x711;resize=1280x720	sha256=f507a539d406b14e556b087e4a33da2f0096d87cbef0b9c61b82df6c71910cfe
C:\Users\Administrator\Documents\xwechat_files\wxid_rg4th3wgnes422_8515\temp\RWTemp\2026-08\8d002fbb45705babab1fb722dead4888\50667f9df60085c643f71892054cad3b.png	original=1268x711	viewport=full_1268x711;resize=1280x720	sha256=b34413e7d71cd682bee05253275c01566cf4c5a0c724df862411ca51a5099b41
C:\Users\Administrator\Documents\xwechat_files\wxid_rg4th3wgnes422_8515\temp\RWTemp\2026-08\8d002fbb45705babab1fb722dead4888\2502a7d6d709b814a7f07668ee1243e7.png	original=1268x711	viewport=full_1268x711;resize=1280x720	sha256=dfbeefc910806bcc8d8bb1c714815a9b5ffcc0b1dcbc124aa7dbcacc4f563815
C:\Users\Administrator\Documents\xwechat_files\wxid_rg4th3wgnes422_8515\temp\RWTemp\2026-08\8d002fbb45705babab1fb722dead4888\cf788558c06f8cc5414a2ad67cf8a6c3.png	original=1268x711	viewport=full_1268x711;resize=1280x720	sha256=c63eb0cdf14ffbf2f3937fa5060d01a4fdbc5771dab526116b8e728e8207cd2f
C:\Users\ADMINI~1\AppData\Local\Temp\codex-clipboard-33a9265b-17c7-4e9d-b033-269e9fa44cb8.png	original=1268x711	viewport=full_1268x711;resize=1280x720	sha256=85283892ef13c10b9bcb119d334a02527742547aa29a45c38a14e1bf2aac0d12
C:\tmp\HeiYue-AutoResonance-gui-launcher-portable-v1-20260807\logs\run_business\20260811-162155-084781-cycle\000-adaptive_preflight_start.png	original=1280x720	viewport=full_1280x720;resize=none	sha256=e456db26429cf0e1905110352ca06724cb91026c955e3c38a2a05b8f89fa0de9
C:\tmp\HeiYue-AutoResonance-gui-launcher-portable-v1-20260807\logs\run_business\20260811-162155-084781-cycle\001-adaptive_preflight_plan_ready.png	original=1280x720	viewport=full_1280x720;resize=none	sha256=1ec204bf585d1543cea21dac12a2fa8f649fa3d818d130c8c6f274352b982e02
C:\tmp\HeiYue-AutoResonance-gui-launcher-portable-v1-20260807\logs\run_business\20260811-162155-084781-cycle\002-adaptive_preflight_inventory_before.png	original=1280x720	viewport=full_1280x720;resize=none	sha256=f936b6d32e385c1fa11d8110bdb33bf9aa76dc30524320ba96816655d57716b3
C:\tmp\HeiYue-AutoResonance-gui-launcher-portable-v1-20260807\logs\run_business\20260811-162155-084781-cycle\003-adaptive_preflight_inventory_after.png	original=1280x720	viewport=full_1280x720;resize=none	sha256=85bcdb21250c311192c629551bc9eeb0592a245a520a7e4a85eec6d18dbaa2c7
C:\tmp\HeiYue-AutoResonance-gui-launcher-portable-v1-20260807\logs\run_business\20260811-162155-084781-cycle\004-final_cycle_result.png	original=1280x720	viewport=full_1280x720;resize=none	sha256=c539be0a372b8bd3994c9e3d5e99533b2aa0a7c6f145d746bfa65c7d7c166e6b
C:\tmp\HeiYue-AutoResonance-gui-launcher-portable-v1-20260807\logs\run_business\20260811-184604-015404-cycle\000-adaptive_preflight_start.png	original=1280x720	viewport=full_1280x720;resize=none	sha256=78af933f5b5f20f115fa17377606a41ac969b7df5cb05ab70644c38c9d223cba
C:\tmp\HeiYue-AutoResonance-gui-launcher-portable-v1-20260807\logs\run_business\20260811-184604-015404-cycle\001-adaptive_preflight_plan_ready.png	original=1280x720	viewport=full_1280x720;resize=none	sha256=303e98c180a49653f14f46d5a1fc35905fc14ed6881d13c85efa9d4a448e922e
C:\tmp\HeiYue-AutoResonance-gui-launcher-portable-v1-20260807\logs\run_business\20260811-184604-015404-cycle\002-adaptive_preflight_inventory_before.png	original=1280x720	viewport=full_1280x720;resize=none	sha256=dfc006ad48881537cfe5069d5441526158d7948a008eccfb78859697614d95b6
C:\tmp\HeiYue-AutoResonance-gui-launcher-portable-v1-20260807\logs\run_business\20260811-184604-015404-cycle\003-inventory_scan_start.png	original=1280x720	viewport=full_1280x720;resize=none	sha256=c431a08692bf71dfa997374947645d72960ebc426e4f46fcf873fc4552243842
C:\tmp\HeiYue-AutoResonance-gui-launcher-portable-v1-20260807\logs\run_business\20260811-184604-015404-cycle\004-inventory_go_home_before.png	original=1280x720	viewport=full_1280x720;resize=none	sha256=9ccbc37af33bafe9674d8a72e29ba807768993f771d4994c86c717c823e8122b
C:\tmp\HeiYue-AutoResonance-gui-launcher-portable-v1-20260807\logs\run_business\20260811-184604-015404-cycle\005-inventory_go_home_after.png	original=1280x720	viewport=full_1280x720;resize=none	sha256=cd1020ee5013e73c6711fac642ecaeb1c04e916bdae4afc917c08693dc930dd7
C:\tmp\HeiYue-AutoResonance-gui-launcher-portable-v1-20260807\logs\run_business\20260811-184604-015404-cycle\006-inventory_open_assets_before.png	original=1280x720	viewport=full_1280x720;resize=none	sha256=593b237de878c4e7bf9cb4d4ab52b545c73a687a6bbfd13fa60b508affbeba8e
C:\tmp\HeiYue-AutoResonance-gui-launcher-portable-v1-20260807\logs\run_business\20260811-184604-015404-cycle\007-inventory_open_assets_after.png	original=1280x720	viewport=full_1280x720;resize=none	sha256=5eb4a610d5e60e885856f34c74550ed4681c210924c60535be035480d658a0ce
C:\tmp\HeiYue-AutoResonance-gui-launcher-portable-v1-20260807\logs\run_business\20260811-184604-015404-cycle\008-inventory_scan_incomplete.png	original=1280x720	viewport=full_1280x720;resize=none	sha256=186abc41fa85582324be3f081adbf184a180c0b7fb85915c94601d37f1492391
